MD	TVD
4539.5	4470.534795
4540	4471.027199
4540.5	4471.519603
4541	4472.012006
4541.5	4472.50441
4542	4472.996814
4542.5	4473.489218
4543	4473.981622
4543.5	4474.474026
4544	4474.96643
4544.5	4475.458834
4545	4475.951237
4545.5	4476.443641
4546	4476.936045
4546.5	4477.428449
4547	4477.920853
4547.5	4478.413257
4548	4478.905661
4548.5	4479.398065
4549	4479.890468
4549.5	4480.382872
4550	4480.875276
4550.5	4481.36768
4551	4481.860084
4551.5	4482.352488
4552	4482.844892
4552.5	4483.337296
4553	4483.829699
4553.5	4484.322103
4554	4484.814507
4554.5	4485.306911
4555	4485.799315
4555.5	4486.291719
4556	4486.784123
4556.5	4487.276527
4557	4487.76893
4557.5	4488.261334
4558	4488.753738
4558.5	4489.246142
4559	4489.738546
4559.5	4490.23095
4560	4490.723354
4560.5	4491.215758
4561	4491.708161
4561.5	4492.200565
4562	4492.692969
4562.5	4493.185373
4563	4493.677777
4563.5	4494.170181
4564	4494.662585
4564.5	4495.154989
4565	4495.647393
4565.5	4496.139796
4566	4496.6322
4566.5	4497.124604
4567	4497.617008
4567.5	4498.109412
4568	4498.601816
4568.5	4499.09422
4569	4499.586624
4569.5	4500.079027
4570	4500.571431
4570.5	4501.063835
4571	4501.556239
4571.5	4502.048643
4572	4502.541047
4572.5	4503.033451
4573	4503.525855
4573.5	4504.018258
4574	4504.510662
4574.5	4505.003066
4575	4505.49547
4575.5	4505.987874
4576	4506.480278
4576.5	4506.972682
4577	4507.465086
4577.5	4507.957489
4578	4508.449893
4578.5	4508.942297
4579	4509.434701
4579.5	4509.927105
4580	4510.419509
4580.5	4510.911913
4581	4511.404317
4581.5	4511.89672
4582	4512.389124
4582.5	4512.881528
4583	4513.373932
4583.5	4513.866336
4584	4514.35874
4584.5	4514.851144
4585	4515.343548
4585.5	4515.835951
4586	4516.328355
4586.5	4516.820759
4587	4517.313163
4587.5	4517.805567
4588	4518.297971
4588.5	4518.790375
4589	4519.282779
4589.5	4519.775182
4590	4520.267586
4590.5	4520.75999
4591	4521.252394
4591.5	4521.744798
4592	4522.237202
4592.5	4522.729606
4593	4523.22201
4593.5	4523.714413
4594	4524.206817
4594.5	4524.699221
4595	4525.191625
4595.5	4525.684029
4596	4526.176433
4596.5	4526.668837
4597	4527.161241
4597.5	4527.653644
4598	4528.146048
4598.5	4528.638452
4599	4529.130856
4599.5	4529.62326
4600	4530.115664
4600.5	4530.608068
4601	4531.100472
4601.5	4531.592875
4602	4532.085279
4602.5	4532.577683
4603	4533.070087
4603.5	4533.562491
4604	4534.054895
4604.5	4534.547299
4605	4535.039703
4605.5	4535.532106
4606	4536.02451
4606.5	4536.516914
4607	4537.009318
4607.5	4537.501722
4608	4537.994126
4608.5	4538.48653
4609	4538.978934
4609.5	4539.471338
4610	4539.963741
4610.5	4540.456145
4611	4540.948549
4611.5	4541.440953
4612	4541.933357
4612.5	4542.425761
4613	4542.918165
4613.5	4543.410569
4614	4543.902972
4614.5	4544.395376
4615	4544.88778
4615.5	4545.380184
4616	4545.872588
4616.5	4546.364992
4617	4546.857396
4617.5	4547.3498
4618	4547.842203
4618.5	4548.334607
4619	4548.827011
4619.5	4549.319415
4620	4549.811819
4620.5	4550.304223
4621	4550.796627
4621.5	4551.289031
4622	4551.781434
4622.5	4552.273838
4623	4552.766242
4623.5	4553.258646
4624	4553.75105
4624.5	4554.243454
4625	4554.735858
4625.5	4555.228262
4626	4555.720665
4626.5	4556.213069
4627	4556.705473
4627.5	4557.197877
4628	4557.690281
4628.5	4558.182685
4629	4558.675089
4629.5	4559.167493
4630	4559.659896
4630.5	4560.1523
4631	4560.644704
4631.5	4561.137108
4632	4561.629512
4632.5	4562.121916
4633	4562.61432
4633.5	4563.106724
4634	4563.599127
4634.5	4564.091531
4635	4564.583935
4635.5	4565.076339
4636	4565.568743
4636.5	4566.061147
4637	4566.553551
4637.5	4567.045955
4638	4567.538358
4638.5	4568.030762
4639	4568.523166
4639.5	4569.01557
4640	4569.507974
4640.5	4570.000378
4641	4570.492782
4641.5	4570.985186
4642	4571.477589
4642.5	4571.969993
4643	4572.462397
4643.5	4572.954801
4644	4573.447205
4644.5	4573.939609
4645	4574.432013
4645.5	4574.924417
4646	4575.41682
4646.5	4575.909224
4647	4576.401628
4647.5	4576.894032
4648	4577.386436
4648.5	4577.87884
4649	4578.371244
4649.5	4578.863648
4650	4579.356052
4650.5	4579.848455
4651	4580.340859
4651.5	4580.833263
4652	4581.325667
4652.5	4581.818071
4653	4582.310475
4653.5	4582.802879
4654	4583.295283
4654.5	4583.787686
4655	4584.28009
4655.5	4584.772494
4656	4585.264898
4656.5	4585.757302
4657	4586.249706
4657.5	4586.74211
4658	4587.234514
4658.5	4587.726917
4659	4588.219321
4659.5	4588.711725
4660	4589.204129
4660.5	4589.696533
4661	4590.188937
4661.5	4590.681341
4662	4591.173745
4662.5	4591.666148
4663	4592.158552
4663.5	4592.650956
4664	4593.14336
4664.5	4593.635764
4665	4594.128168
4665.5	4594.620572
4666	4595.112976
4666.5	4595.605379
4667	4596.097783
4667.5	4596.590187
4668	4597.082591
4668.5	4597.574995
4669	4598.067399
4669.5	4598.559803
4670	4599.052207
4670.5	4599.54461
4671	4600.037014
4671.5	4600.529418
4672	4601.021822
4672.5	4601.514226
4673	4602.00663
4673.5	4602.499034
4674	4602.991438
4674.5	4603.483841
4675	4603.976245
4675.5	4604.468649
4676	4604.961053
4676.5	4605.453457
4677	4605.945861
4677.5	4606.438265
4678	4606.930669
4678.5	4607.423072
4679	4607.915476
4679.5	4608.40788
4680	4608.900284
4680.5	4609.392688
4681	4609.885092
4681.5	4610.377496
4682	4610.8699
4682.5	4611.362303
4683	4611.854707
4683.5	4612.347111
4684	4612.839515
4684.5	4613.331919
4685	4613.824323
4685.5	4614.316727
4686	4614.809131
4686.5	4615.301534
4687	4615.793938
4687.5	4616.286342
4688	4616.778746
4688.5	4617.27115
4689	4617.763554
4689.5	4618.255958
4690	4618.748362
4690.5	4619.240766
4691	4619.733169
4691.5	4620.225573
4692	4620.717977
4692.5	4621.210381
4693	4621.702785
4693.5	4622.195189
4694	4622.687593
4694.5	4623.179997
4695	4623.6724
4695.5	4624.164804
4696	4624.657208
4696.5	4625.149612
4697	4625.642016
4697.5	4626.13442
4698	4626.626824
4698.5	4627.119228
4699	4627.611631
4699.5	4628.104035
4700	4628.596439
4700.5	4629.088843
4701	4629.581247
4701.5	4630.073651
4702	4630.566055
4702.5	4631.058459
4703	4631.550862
4703.5	4632.043266
4704	4632.53567
4704.5	4633.028074
4705	4633.520478
4705.5	4634.012882
4706	4634.505286
4706.5	4634.99769
4707	4635.490093
4707.5	4635.982497
4708	4636.474901
4708.5	4636.967305
4709	4637.459709
4709.5	4637.952113
4710	4638.444517
4710.5	4638.936921
4711	4639.429324
4711.5	4639.921728
4712	4640.414132
4712.5	4640.906536
4713	4641.39894
4713.5	4641.891344
4714	4642.383748
4714.5	4642.876152
4715	4643.368555
4715.5	4643.860959
4716	4644.353363
4716.5	4644.845767
4717	4645.338171
4717.5	4645.830575
4718	4646.322979
4718.5	4646.815383
4719	4647.307786
4719.5	4647.80019
4720	4648.292594
4720.5	4648.784998
4721	4649.277402
4721.5	4649.769806
4722	4650.26221
4722.5	4650.754614
4723	4651.247017
4723.5	4651.739421
4724	4652.231825
4724.5	4652.724229
4725	4653.216633
4725.5	4653.709037
4726	4654.201441
4726.5	4654.693845
4727	4655.186248
4727.5	4655.678652
4728	4656.171056
4728.5	4656.66346
4729	4657.155864
4729.5	4657.648268
4730	4658.140672
4730.5	4658.633076
4731	4659.12548
4731.5	4659.617883
4732	4660.110287
4732.5	4660.602691
4733	4661.095095
4733.5	4661.587499
4734	4662.079903
4734.5	4662.572307
4735	4663.064711
4735.5	4663.557114
4736	4664.049518
